,Frase,Sentimento
195,Tenho muita piedade do cão,tristeza
196,e dor na perda de uma criança,tristeza
197,esta tragédia nos abalará para sempre,tristeza
198,Perdi meus filhos,tristeza
199,ela não pára de lamentar a morte de seu marido,tristeza
200,ela perdeu um filho no aborto,tristeza
201,seus pais morreram em um acidente,tristeza
202,o avião caiu no mar e não teve mais notícias,tristeza
203,Perdi meu curso,tristeza
204,Eu sou apenas um chorão,tristeza
205,você e um choro,tristeza
206,se o arrependimento mataria,tristeza
207,Sinto-me deslocado na sala de aula,tristeza
208,nossas condolências e tristeza por sua perda,tristeza
209,"desânimo, raiva, solidão ou vazio, depressão",tristeza
210,Eu continuo desencorajando você,tristeza
211,"Imperador sedento de sangue, depravado e medroso",tristeza
212,meu ser está em agonia,tristeza
213,esta fricção entre nós tem que acabar,tristeza
214,a escuridão assola meu ser,tristeza
215,quem está descontente com os outros está descontente consigo mesmo,tristeza
216,os ventiladores estão descontentes com a demissão do técnico,tristeza
217,Estou bastante aborrecido com o jornal,tristeza
218,Sinto-me só e entediado,tristeza
219,vida e solidão para aqueles que não são falsos,tristeza
220,como com a compulsão após a depressão,tristeza
221,Estou me desencorajando de viver,tristeza
222,ele desencoraja meus desejos,tristeza
223,isto é deprimente por dentro,tristeza
224,Acho que isto é defeituoso,tristeza
